id_cliente;nome;email;telefone;cidade;estado;data_inicio;valor_mensal;status;data_nascimento;idade;faixa_etaria;inadimplente;faixa_valor
32;Antônio Farias;pereiraerick@cardoso.com;(061) 7637 3793;Martins;AM;24/11/2024;116.65;inadimplente;08/07/1996;29;19-30;1;81-120
33;Stella Pires;kcampos@bol.com.br;+55 51 1167 5632;Rodrigues;SE;13/10/2024;72.97;inadimplente;09/10/2006;19;19-30;1;0-80
34;Bryan Campos;davi-luizcaldeira@yahoo.com.br;81 8538-4589;Martins de Goiás;SE;22/09/2024;149.37;inadimplente;21/05/1983;42;31-45;1;121-160
35;Francisco Cardoso;duarteyuri@cardoso.com;+55 (061) 6729-4893;Gomes de Goiás;BA;09/03/2025;112.82;inadimplente;12/03/1998;27;19-30;1;81-120
36;Joana Gonçalves;fariasmurilo@gmail.com;(071) 2513-8844;Gomes do Galho;RJ;03/12/2024;92.41;inadimplente;26/01/1998;27;19-30;1;81-120
37;Eduardo Barros;ucavalcanti@vieira.net;+55 41 8276-0259;Santos do Amparo;PE;31/01/2025;166.69;inadimplente;02/09/1960;65;60+;1;161-200
38;Bárbara Nunes;maria-fernandavieira@uol.com.br;+55 (051) 6372-7127;Pires;SP;12/12/2024;111.46;inadimplente;20/03/1993;32;31-45;1;81-120
40;Elisa Pires;rodriguesmaite@martins.org;0300 690 6942;Sales de Minas;MG;21/06/2025;150.74;inadimplente;12/09/1997;28;19-30;1;121-160
41;Eloah Barbosa;rezendevalentina@teixeira.com;+55 84 1136 1116;Ribeiro;RN;05/08/2024;150.35;inadimplente;23/03/1994;31;31-45;1;121-160
42;Evelyn Rezende;davi-lucas34@dias.com;0900 932 3280;Souza;BA;28/03/2025;166.93;inadimplente;14/11/2000;25;19-30;1;161-200
43;Vitor Pires;bernardo98@viana.com;+55 11 2073 9088;Viana;RR;05/02/2025;65.19;inadimplente;24/08/1984;41;31-45;1;0-80
44;Maysa da Mata;caio64@viana.com;(051) 2588 7697;Pereira da Mata;RR;21/11/2024;118.51;inadimplente;17/01/1981;44;31-45;1;81-120
45;Sr. Gustavo Dias;melissa37@nascimento.com;11 0605-7107;Campos Paulista;SP;29/09/2024;57.51;inadimplente;07/12/1991;34;31-45;1;0-80
46;Pedro Miguel Pinto;pereiracaue@lopes.br;11 8576 1342;Pires de Vieira;DF;12/07/2025;177.84;inadimplente;16/04/1975;50;46-60;1;161-200
47;Ryan Barbosa;sophie77@uol.com.br;+55 84 4589 3880;Barros do Oeste;SC;08/02/2025;96.91;inadimplente;17/03/1997;28;19-30;1;81-120
49;Ana Julia Fogaça;osouza@ramos.net;+55 51 3849 0190;Mendes das Flores;RN;21/06/2025;70.76;inadimplente;22/04/1992;33;31-45;1;0-80
50;Dr. Bryan Moraes;grodrigues@ig.com.br;0300 735 1679;Nascimento;MA;23/05/2025;99.3;inadimplente;02/05/1968;57;46-60;1;81-120
51;Sra. Ana Sophia Freitas;gabriela72@silva.com;21 2499-1033;Sales Alegre;RN;06/03/2025;193.26;inadimplente;15/07/1983;42;31-45;1;161-200
52;Paulo Rocha;cunhadaniela@nogueira.org;(071) 2951 2609;Viana;GO;16/04/2025;181.77;inadimplente;08/04/1999;26;19-30;1;161-200
53;Luiza Correia;rafael43@gmail.com;71 3826 9814;Souza;DF;27/01/2025;105.89;inadimplente;09/11/1976;49;46-60;1;81-120
54;Eduarda Pires;danilofogaca@farias.br;0300 942 0021;Dias dos Dourados;RR;28/01/2025;77.43;inadimplente;26/08/1971;54;46-60;1;0-80
55;Gabriel Silva;freitassamuel@fogaca.org;+55 21 8558 8238;Almeida;RN;28/02/2025;110.04;inadimplente;25/08/1966;59;46-60;1;81-120
56;Sophie Cunha;joao-guilhermeoliveira@melo.br;(051) 3705 0239;Nunes;PE;14/04/2025;90.77;inadimplente;31/12/1972;53;46-60;1;81-120
57;Matheus Gomes;joao-pedro91@gmail.com;+55 (071) 4774-0630;Silva Alegre;PA;27/08/2024;153.49;inadimplente;12/09/1964;61;60+;1;121-160
58;Maitê Barbosa;fernandesmariana@silva.com;+55 11 5362 3070;Moraes;SC;16/03/2025;169.98;inadimplente;22/08/1992;33;31-45;1;161-200
59;Dr. Nathan Costa;camposjuliana@nascimento.com;+55 (071) 2946 4047;Oliveira do Sul;BA;18/01/2025;66.96;inadimplente;06/05/2002;23;19-30;1;0-80
60;Marcos Vinicius da Cunha;gabriellycostela@ig.com.br;21 5955 0242;Aragão;PE;12/06/2025;197.24;inadimplente;21/04/1993;32;31-45;1;161-200
61;Sr. Matheus Oliveira;alexia14@hotmail.com;71 6918 4792;Novaes da Mata;SC;31/03/2025;65.56;inadimplente;20/04/1964;61;60+;1;0-80
62;Helena Azevedo;matheus55@teixeira.com;+55 41 9876 4853;Freitas Alegre;ES;10/09/2024;170.34;inadimplente;18/04/1968;57;46-60;1;161-200
63;Milena Santos;duartelucca@da.com;(084) 6231-0452;Correia;MT;13/02/2025;77.19;inadimplente;15/07/1973;52;46-60;1;0-80
64;Joana Dias;cardosoarthur@bol.com.br;84 0935 0896;Lima;PI;20/04/2025;166.87;inadimplente;07/01/2005;20;19-30;1;161-200
65;Renan Oliveira;qcunha@azevedo.com;+55 (031) 1106 9138;Ribeiro de Correia;AC;16/12/2024;179.39;inadimplente;19/11/1995;30;19-30;1;161-200
66;Carlos Eduardo da Cunha;gabriela71@bol.com.br;(021) 1930-1623;da Paz;RO;23/11/2024;122.46;inadimplente;25/10/1963;62;60+;1;121-160
67;Eduarda Rocha;pintomaria-clara@araujo.com;(031) 1804 6640;Duarte;PE;01/11/2024;66.94;inadimplente;16/09/1970;55;46-60;1;0-80
68;Joaquim Monteiro;caldeirasophie@ramos.br;(041) 7065-9795;Moraes;AM;05/08/2024;116.1;inadimplente;03/12/2001;24;19-30;1;81-120
69;Bruno Freitas;luiz-fernando88@yahoo.com.br;81 7530-6478;Nogueira Verde;ES;24/01/2025;89.24;inadimplente;01/06/1979;46;46-60;1;81-120
70;Ana Lívia Cunha;pintosophie@aragao.br;+55 (031) 7305 9302;Peixoto dos Dourados;BA;24/01/2025;51.85;inadimplente;09/07/1960;65;60+;1;0-80
71;Sabrina Porto;marianealmeida@pereira.net;(081) 7978 8342;da Rosa de da Rocha;PA;01/02/2025;165.13;inadimplente;15/11/1955;70;60+;1;161-200
72;Dra. Lavínia Azevedo;bryanda-cruz@lima.org;+55 41 2992 3163;Jesus dos Dourados;AL;15/05/2025;158.57;inadimplente;06/07/1987;38;31-45;1;121-160
73;Kamilly Cardoso;gomesjoaquim@cardoso.com;51 1815 3023;Silveira da Serra;PI;04/02/2025;196.68;inadimplente;03/04/1977;48;46-60;1;161-200
74;Heitor Ferreira;meloisabelly@almeida.net;+55 (061) 9617-7515;Freitas da Serra;TO;14/01/2025;127.86;inadimplente;23/01/1999;26;19-30;1;121-160
75;Sra. Luana Campos;enricorocha@alves.br;(084) 8467-5252;Rodrigues de Lima;RO;23/03/2025;114.93;inadimplente;21/04/1985;40;31-45;1;81-120
76;Cauê Freitas;livia64@hotmail.com;31 9909 1072;Mendes;AL;17/02/2025;122.29;inadimplente;28/01/1973;52;46-60;1;121-160
77;Lucas Gabriel Peixoto;araujobryan@gmail.com;0800-792-1318;Almeida de Minas;TO;30/07/2025;72.3;inadimplente;07/07/1957;68;60+;1;0-80
78;Rodrigo Ramos;enricocosta@uol.com.br;+55 31 4497 3881;da Mota;PA;08/01/2025;183.81;inadimplente;16/09/2002;23;19-30;1;161-200
79;Enzo Gabriel da Luz;sofia79@da.com;+55 11 5849 0938;da Rocha;RN;08/12/2024;51.75;inadimplente;11/07/1993;32;31-45;1;0-80
80;Julia Campos;ryan52@castro.br;(071) 0705-9283;Pinto;PB;04/10/2024;125.84;inadimplente;03/07/1965;60;46-60;1;121-160
81;Olivia Barbosa;smoreira@bol.com.br;(021) 5933 5830;Lopes de Goiás;PI;17/09/2024;177.78;inadimplente;07/10/1992;33;31-45;1;161-200
82;Stella Azevedo;tcunha@viana.org;+55 51 9616 0294;Farias;AL;28/04/2025;61.23;inadimplente;01/07/1963;62;60+;1;0-80
83;Vinicius Castro;nmelo@da.com;(041) 1923-5786;Ferreira;BA;18/07/2025;98.1;inadimplente;02/12/1977;48;46-60;1;81-120
84;Luiz Gustavo Ribeiro;thalescorreia@da.br;+55 81 8875-0791;Moreira;CE;17/04/2025;195.52;inadimplente;02/02/2003;22;19-30;1;161-200
85;Ana Beatriz Castro;xaraujo@porto.br;31 4100-3753;Viana do Norte;RR;16/06/2025;126.04;inadimplente;21/03/1958;67;60+;1;121-160
86;Marina Pires;nascimentobarbara@dias.com;31 0825 1162;Duarte;PE;08/11/2024;146.5;inadimplente;05/06/1971;54;46-60;1;121-160
87;Dra. Lorena Rocha;joao-felipemoraes@cavalcanti.com;51 4876 1375;Ramos Alegre;TO;05/07/2025;172.57;inadimplente;13/07/2000;25;19-30;1;161-200
88;Thomas Cardoso;da-motadiogo@bol.com.br;(081) 6723-7892;Martins;PI;13/06/2025;118.86;inadimplente;12/03/1956;69;60+;1;81-120
89;Maria Luiza Monteiro;oliveiralavinia@gmail.com;+55 (084) 0858-9900;Gonçalves;PI;17/08/2024;117.21;inadimplente;20/11/1962;63;60+;1;81-120
90;Dr. Kevin Costa;ramosheloisa@da.com;(031) 5146 3956;Correia da Mata;ES;15/12/2024;117.06;inadimplente;15/12/1996;29;19-30;1;81-120
91;Julia Campos;natalia70@bol.com.br;+55 (061) 6095-9449;Duarte;ES;08/12/2024;197.1;inadimplente;04/01/2006;19;19-30;1;161-200
92;Davi Porto;miguelbarros@ribeiro.com;+55 (031) 5763-9884;Lopes;BA;05/12/2024;65.4;inadimplente;12/08/1970;55;46-60;1;0-80
93;Emanuelly Martins;marcos-viniciusrezende@da.br;+55 (061) 3441 9054;Melo de Fernandes;AL;13/06/2025;55.37;inadimplente;06/05/1958;67;60+;1;0-80
94;Gabrielly Santos;ana-sophia38@ig.com.br;0500-690-0027;Nascimento;CE;13/09/2024;50.03;inadimplente;14/06/1999;26;19-30;1;0-80
95;Luiz Henrique Moura;da-costabernardo@da.br;(061) 8832 0670;Dias;PR;05/12/2024;168.77;inadimplente;11/04/1980;45;31-45;1;161-200
96;João Pedro Oliveira;henrique67@rocha.com;+55 51 9983 2226;Gonçalves de Silva;SP;11/11/2024;183.52;inadimplente;26/02/1957;68;60+;1;161-200
97;Giovanna Mendes;gsouza@yahoo.com.br;(031) 8909 2837;Cardoso;TO;16/03/2025;81.03;inadimplente;04/09/1966;59;46-60;1;81-120
98;Sra. Bianca Dias;zgoncalves@yahoo.com.br;84 7680 1141;Caldeira;RJ;08/01/2025;192.55;inadimplente;03/01/1975;50;46-60;1;161-200
99;Kevin Correia;rda-conceicao@santos.br;+55 (021) 9529 5914;Costa de Goiás;MG;05/11/2024;173.8;inadimplente;10/08/1987;38;31-45;1;161-200
100;Cecília Martins;da-conceicaogiovanna@castro.br;+55 (084) 9755 7733;Moura;PR;06/05/2025;176.65;inadimplente;27/10/1977;48;46-60;1;161-200
101;Yasmin Lopes;vitoriacarvalho@farias.br;(011) 4503-8733;da Rocha dos Dourados;MT;17/11/2024;134.02;inadimplente;27/02/1965;60;46-60;1;121-160
102;Dra. Eduarda Oliveira;da-cruzpedro-miguel@uol.com.br;0300-850-8078;Santos;DF;23/01/2025;157.5;inadimplente;05/01/1975;50;46-60;1;121-160
103;Luiz Otávio Rocha;laura58@da.com;(081) 7559 1298;Cunha;RN;22/06/2025;157.39;inadimplente;17/05/1997;28;19-30;1;121-160
104;Henrique Martins;hrezende@campos.com;+55 21 8122 6819;da Rocha de Barros;AC;26/07/2025;64.62;inadimplente;17/09/1987;38;31-45;1;0-80
105;Sra. Alícia da Costa;da-motarafael@uol.com.br;+55 (061) 7925-7000;Viana Grande;AP;20/06/2025;50.33;inadimplente;29/09/1975;50;46-60;1;0-80
106;Dra. Sabrina Barros;xsilva@nogueira.br;(031) 8251-2394;Rezende;BA;04/11/2024;174.48;inadimplente;30/05/1981;44;31-45;1;161-200
107;Levi Santos;uda-paz@araujo.br;+55 84 0960-5248;Melo da Serra;GO;29/01/2025;132.15;inadimplente;23/01/1974;51;46-60;1;121-160
108;Larissa Teixeira;clararezende@ig.com.br;81 0261-3129;Campos;SP;11/01/2025;155.31;inadimplente;01/07/2003;22;19-30;1;121-160
109;Benjamin Barros;thiago11@gmail.com;(041) 1357 7534;Ramos Paulista;RR;20/09/2024;184.53;inadimplente;06/06/1963;62;60+;1;161-200
110;Srta. Cecília Caldeira;vitorcampos@yahoo.com.br;+55 51 7407 4940;Silva;AL;27/01/2025;71.07;inadimplente;22/11/1970;55;46-60;1;0-80
111;Sra. Laís Carvalho;nascimentokevin@ig.com.br;(061) 0238 8090;Teixeira;SP;02/11/2024;66.04;inadimplente;11/01/1990;35;31-45;1;0-80
112;Luna da Conceição;martinsnoah@lopes.br;0800-419-0169;Barros;RJ;23/10/2024;78.13;inadimplente;10/05/1972;53;46-60;1;0-80
113;Sofia Caldeira;yferreira@costa.org;+55 71 6003 2762;da Cruz;AM;21/03/2025;82.34;inadimplente;05/07/1990;35;31-45;1;81-120
114;Srta. Bruna Alves;vitoria41@bol.com.br;+55 (011) 5138 6969;Sales;AC;28/02/2025;157.52;inadimplente;08/12/1997;28;19-30;1;121-160
115;Yasmin Nunes;zgomes@castro.com;+55 (011) 7369-9082;Teixeira;CE;03/07/2025;163.57;inadimplente;08/06/2003;22;19-30;1;161-200
116;Clarice Sales;hfernandes@hotmail.com;+55 (041) 5199 0092;Campos;GO;24/06/2025;188.99;inadimplente;20/07/1996;29;19-30;1;161-200
117;Gabriel Fogaça;barbosacamila@bol.com.br;(084) 9691 9305;Silveira;PA;31/03/2025;165.82;inadimplente;10/03/1967;58;46-60;1;161-200
118;Isabel Santos;pereiraleonardo@jesus.net;71 8140 6091;Santos de Freitas;RN;12/03/2025;118.61;inadimplente;16/05/1962;63;60+;1;81-120
119;Davi Moura;vicentepires@yahoo.com.br;+55 84 2219 3154;Pinto de Barbosa;AP;06/10/2024;70.2;inadimplente;08/11/1962;63;60+;1;0-80
120;Maria Rocha;novaesdavi-lucas@hotmail.com;+55 41 0221-5555;Gonçalves;ES;24/07/2025;50.65;inadimplente;01/04/2003;22;19-30;1;0-80
121;Bryan Santos;ana-sophiaalves@costela.br;(081) 7137-7271;Campos;PI;13/07/2025;132.98;inadimplente;10/10/1968;57;46-60;1;121-160
122;Bernardo das Neves;ylopes@uol.com.br;84 6861 7299;Cardoso Grande;SC;16/06/2025;175.82;inadimplente;12/04/1964;61;60+;1;161-200
123;Alexandre Lopes;imoura@ig.com.br;+55 (084) 1619-3118;Duarte;AM;19/07/2025;188.66;inadimplente;16/09/1991;34;31-45;1;161-200
124;Dr. João Pedro Barros;jpeixoto@bol.com.br;(021) 7151-7459;Ramos;DF;01/11/2024;153.77;inadimplente;10/01/1992;33;31-45;1;121-160
125;Eduardo Nunes;da-mataagatha@ig.com.br;+55 81 2340-3844;Correia das Pedras;RO;22/12/2024;159.57;inadimplente;02/02/1996;29;19-30;1;121-160
126;Beatriz Porto;da-conceicaobruna@bol.com.br;(021) 4749-8458;Alves;AL;17/12/2024;65.53;inadimplente;24/09/1978;47;46-60;1;0-80
127;Marcela Caldeira;udas-neves@gmail.com;+55 (084) 2588-8909;Barros;DF;24/01/2025;125.62;inadimplente;04/02/1973;52;46-60;1;121-160
128;Ana Lívia Monteiro;lucas-gabrielcostela@souza.br;(031) 5173 7470;Moraes;PR;21/01/2025;112.8;inadimplente;02/05/1985;40;31-45;1;81-120
129;Dra. Elisa Almeida;costaclarice@lima.br;0500 492 9651;Aragão do Sul;MS;01/01/2025;91.04;inadimplente;05/11/1976;49;46-60;1;81-120
130;Nina Fernandes;castrojuan@bol.com.br;+55 71 8414-3579;Mendes Grande;GO;20/11/2024;195.57;inadimplente;24/12/1966;59;46-60;1;161-200
131;Eduardo da Luz;raul26@hotmail.com;+55 (071) 4213-4050;da Costa de Cardoso;MG;31/10/2024;170.72;inadimplente;18/03/1995;30;19-30;1;161-200
132;Maria Fernanda Araújo;melissa30@bol.com.br;84 5546-7329;Nogueira do Galho;RJ;16/12/2024;111.91;inadimplente;24/08/1961;64;60+;1;81-120
133;Theo Cavalcanti;bda-mata@vieira.com;+55 (041) 8500-6457;Nascimento do Oeste;AL;07/04/2025;94.84;inadimplente;17/06/1958;67;60+;1;81-120
134;Sr. Fernando Costela;wmelo@gmail.com;(051) 4346 8404;Souza da Prata;PB;08/07/2025;179.11;inadimplente;10/12/1957;68;60+;1;161-200
135;Sophia da Paz;vda-luz@gmail.com;+55 (031) 0977-0470;Monteiro da Mata;TO;08/12/2024;144.89;inadimplente;01/08/1989;36;31-45;1;121-160
136;Lucca Monteiro;jgomes@yahoo.com.br;(061) 0409 4782;Porto de da Conceição;PR;19/10/2024;81.46;inadimplente;15/07/1981;44;31-45;1;81-120
137;Thomas Silva;paragao@bol.com.br;+55 71 9264-9510;da Cunha;MT;26/09/2024;152.99;inadimplente;14/09/1995;30;19-30;1;121-160
138;Alexia da Mota;alvesbarbara@hotmail.com;+55 81 6469-2929;Freitas da Prata;RN;29/01/2025;197.2;inadimplente;27/08/1991;34;31-45;1;161-200
139;Mariane Cavalcanti;brendacardoso@ig.com.br;(061) 7674 3184;da Paz;AC;01/03/2025;125.58;inadimplente;07/09/1978;47;46-60;1;121-160
140;Gustavo da Conceição;da-cruznathan@ig.com.br;0900 749 0285;Correia do Sul;AM;21/06/2025;156.55;inadimplente;02/01/1976;49;46-60;1;121-160
141;Carlos Eduardo Pinto;carvalhoclarice@yahoo.com.br;+55 71 4929 9726;da Luz;AP;09/01/2025;134.34;adimplente;30/05/1956;69;60+;0;121-160
142;Daniel Teixeira;stella94@teixeira.br;+55 (084) 4039-0991;Rodrigues de Peixoto;AL;22/08/2024;191.4;adimplente;25/02/1970;55;46-60;0;161-200
143;Sarah da Mota;lopesmilena@uol.com.br;+55 (061) 2382 2900;Porto;ES;16/06/2025;151.14;adimplente;16/09/1959;66;60+;0;121-160
144;Gabriel Castro;da-cruzcaroline@alves.com;(071) 0007-1563;Farias de da Mata;RJ;16/04/2025;92.89;adimplente;17/09/1969;56;46-60;0;81-120
145;Sra. Ana Laura Cavalcanti;aazevedo@gmail.com;(081) 9916-0487;Nogueira do Galho;RR;23/09/2024;171.25;adimplente;16/09/1960;65;60+;0;161-200
146;João Miguel Aragão;qcosta@hotmail.com;+55 11 6886 8791;Rezende da Mata;GO;12/07/2025;65.97;adimplente;08/06/1973;52;46-60;0;0-80
147;Marcelo Melo;silvaotavio@correia.br;0800 075 3419;Cavalcanti de Costa;BA;18/12/2024;71.8;adimplente;12/07/2002;23;19-30;0;0-80
148;Srta. Eloah Pereira;larada-mota@ig.com.br;+55 (011) 2182 3041;Sales de Minas;PE;04/01/2025;79.99;adimplente;02/03/1993;32;31-45;0;0-80
149;Sr. Pedro Lucas Souza;emanuelly06@teixeira.com;+55 (051) 0937 9018;Correia do Norte;AL;04/02/2025;197.53;adimplente;15/02/1985;40;31-45;0;161-200
150;Dra. Valentina Oliveira;cribeiro@gmail.com;81 3491 9356;das Neves;AL;24/05/2025;71.96;adimplente;15/01/2002;23;19-30;0;0-80
151;Luigi Oliveira;iazevedo@ig.com.br;51 2575 9335;Oliveira;PR;30/08/2024;153.59;adimplente;15/02/1981;44;31-45;0;121-160
152;Vicente da Cunha;scaldeira@costela.com;84 6538-1204;Sales dos Dourados;RR;02/04/2025;80.6;adimplente;20/01/1959;66;60+;0;81-120
153;Dr. Lucas Gabriel Fernandes;yaragao@da.br;+55 (061) 6963-9619;Farias;RO;15/05/2025;54.85;adimplente;01/01/1967;58;46-60;0;0-80
154;Srta. Mariane Duarte;thomaslima@uol.com.br;+55 51 0030 9680;Pires;RS;21/06/2025;65.37;adimplente;13/03/1957;68;60+;0;0-80
155;Paulo Novaes;rpeixoto@martins.com;+55 81 7742 2755;Mendes de Minas;RO;08/04/2025;179.73;adimplente;02/04/1957;68;60+;0;161-200
156;Srta. Valentina Costela;duartenicolas@uol.com.br;+55 21 3391 6353;Pereira;RO;26/01/2025;108.33;adimplente;08/10/1961;64;60+;0;81-120
157;Gustavo Henrique Farias;vitor-gabrieldas-neves@nascimento.br;(041) 9567-8163;das Neves;MS;23/04/2025;167.65;adimplente;19/10/1981;44;31-45;0;161-200
158;Sr. Calebe Cardoso;qnovaes@melo.org;(031) 7336 4941;da Cunha de Goiás;BA;07/10/2024;153.94;adimplente;23/05/2003;22;19-30;0;121-160
159;Benjamin Pereira;ana-carolina55@caldeira.br;31 8153 1099;Pires de Minas;PI;26/11/2024;188.97;adimplente;01/11/1972;53;46-60;0;161-200
160;Mariane Pereira;isaac75@porto.br;+55 71 2659 2619;Campos do Campo;AC;14/06/2025;112.48;adimplente;22/07/1979;46;46-60;0;81-120
161;Luiz Henrique Fernandes;mfernandes@da.org;+55 84 1353-4143;Costa;RS;10/07/2025;194.87;adimplente;12/10/2002;23;19-30;0;161-200
162;Milena Cunha;sophiesilveira@gmail.com;+55 84 1525-7253;da Cruz do Sul;CE;27/02/2025;51.94;adimplente;21/01/1985;40;31-45;0;0-80
163;Dra. Isis Ramos;goncalvesana-clara@ig.com.br;(051) 5900 9391;Freitas Alegre;PI;16/10/2024;80.46;adimplente;09/11/1967;58;46-60;0;81-120
164;Eduarda da Paz;pietra04@bol.com.br;11 7420 6419;Moreira de Cardoso;AL;13/12/2024;174.5;adimplente;12/08/1974;51;46-60;0;161-200
165;Emanuel Ramos;goncalvesmarcela@hotmail.com;(041) 8254 4309;Gomes de Martins;PA;07/03/2025;163.27;adimplente;26/07/1958;67;60+;0;161-200
166;Dra. Emilly Fogaça;vcosta@farias.com;+55 (084) 6927-3834;da Cunha;PI;02/04/2025;160.77;adimplente;24/12/1989;36;31-45;0;161-200
167;Isabel Duarte;ryancorreia@viana.com;+55 84 1761-5012;Correia;CE;14/04/2025;166.42;adimplente;31/03/1990;35;31-45;0;161-200
168;Antônio da Conceição;maria-ceciliaramos@gmail.com;+55 84 0042-3769;Ribeiro;SE;22/06/2025;94.13;adimplente;09/09/1991;34;31-45;0;81-120
169;Daniela Melo;gcavalcanti@da.com;0500 110 2190;da Cunha;MS;15/08/2024;197.52;adimplente;03/12/2000;25;19-30;0;161-200
170;Gabriel da Costa;fernando71@bol.com.br;+55 21 9075 9006;Fogaça da Prata;RO;30/11/2024;78.05;adimplente;06/01/1992;33;31-45;0;0-80
171;André da Rocha;cunhajuan@moura.br;+55 51 1953 4185;Teixeira da Praia;SE;04/11/2024;160.26;adimplente;24/11/1996;29;19-30;0;161-200
172;Srta. Caroline Freitas;diasgabriel@da.br;+55 71 3310-9127;Fogaça de Farias;AM;08/05/2025;106.58;adimplente;28/02/1969;56;46-60;0;81-120
173;Maria da Cruz;carvalhoisis@silveira.br;+55 (061) 3342 6965;Peixoto das Flores;RJ;21/08/2024;91.87;adimplente;25/11/1983;42;31-45;0;81-120
